22561), CD, I
Washington, NNP, I
University, NNP, I
in, IN, I
St., NNP, I
Louis, NNP, I
microarrays, NNS, I
were, VBD, I
then, RB, I
run, VBN, I
at, IN, I
USC, NNP, Ibone, NN, N
marrow, NN, N
-derived, VBD, I
mesenchymal, JJ, I
stroma, NN, I
cells, NNS, I
(MSCs), VBP, I
have, VBP, I
many, JJ, I
of, IN, I
the, DT, I
properties, NNS, I
of, IN, I
multipotent, JJ, I
stem, NN, I
cells, NNS, I
and, CC, I
can, MD, I
be, VB, I
differentiated, VBN, I
towards, JJ, I
osteoblasts, NNS, I
in, IN, I
vitro, NN, I
making, VBG, I
these, DT, I
cells, NNS, I
a, DT, I
convenient, JJ, I
tool, NN, I
for, IN, I
investigation, NN, I
of, IN, I
osteogenesis., NN, Ibone, NN, N
marrow, NN, N
-derived, VBD, I
MSC, NNP, I
(iP-MSC), NN, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
00_751, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
01_1808, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
02_1505, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
02_1522, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
02_1550, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
02_723, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
03_106, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
03_1310, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
03_1380, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
04_126, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
04_6, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
05_1464, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
05_170, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
05_579, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
06_2096, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
06_518, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
06_758, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
07_1768, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
07_1962, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
07_2252, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
08_151, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
08_723, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
08_774, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
08_785, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
08_930, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
10_1420, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
10_1789, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
11_834, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
12_254, CD, Ibone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, I
leukemia, NN, Ibone, NN, N
marrow, RBS, N
MSC-derived, JJ, I
iPS, NN, I
cells, NNS, I
(iPSCs), VBP, Ibone, NN, N
marrow, NN, N
sample, NN, I
grown, VBN, I
in, IN, I
cultutre, NN, IBy, IN, I
sequencing, VBG, I
of, IN, I
immuno¬precipi¬tated, JJ, I
chromatin, NN, I
we, PRP, I
generated, VBD, I
high, JJ, I
resolution, NN, I
maps, NNS, I
of, IN, I
enrichment, NN, I
of, IN, I
five, CD, I
histone, NN, I
H3, NNP, I
modifications, NNS, I
associated, VBN, I
with, IN, I
different, JJ, I
functional, JJ, I
states, NNS, I
of, IN, I
chromatin, NN, I
and, CC, I
identified, VBD, I
differentiation-induced, JJ, I
epigenetic, JJ, I
changes., NN, IBy, IN, I
the, DT, I
same, JJ, I
approach, NN, I
several, JJ, I
thousand, CD, I
binding, VBG, I
sites, NNS, I
for, IN, I
the, DT, I
transcription, NN, I
factor, NN, I
RUNX2, NNP, I
was, VBD, I
mapped, VBN, I
to, TO, I
around, IN, I
1900, CD, I
target, NN, I
genes, NNS, I
in, IN, I
differentiated, JJ, I
osteoblasts., NN, Icell, NN, I
description:, VBZ, I
neuroblastoma, JJ, I
BE-C, NNP, I
is, VBZ, I
a, DT, I
clone, NN, I
of, IN, I
the, DT, I
SK-N-BE, NNP, I
neuroblastoma, NN, I
cell, NN, I
line, NN, I
(see, NNP, I
ATCC, NNP, I
CRL-2271), NNP, I
that, WDT, I
was, VBD, I
established, VBN, I
in, IN, I
November, NNP, I
of, IN, I
1972, CD, I
from, IN, I
a, DT, I
bone, NN, N
marrow, NN, N
biopsy, NN, I
taken, VBN, I
from, IN, I
a, DT, I
2-year-old, JJ, I
individual, NN, I
with, IN, I
disseminated, JJ, I
neuroblastoma, NN, I
after, IN, I
repeated, VBN, I
courses, NNS, I
of, IN, I
chemotherapy, NN, I
and, CC, I
radiotherapy., NN, ICells, NNP, I
able, JJ, I
to, TO, I
form, VB, I
bone, NN, I
through, IN, I
endochondral, JJ, I
ossification, NN, I
and, CC, I
attract, VB, I
bone, NN, N
marrow, NN, N
in, IN, I
an, DT, I
innovative, JJ, I
in, IN, I
vivo, JJ, I
model, NN, I
were, VBD, I
compared, VBN, I
to, TO, I
cells, NNS, I
lacking, VBG, I
these, DT, I
capacities., NNS, Icells, NNS, I
isolated, VBN, I
from, IN, I
healthy, JJ, I
bone, NN, N
marrow, NN, NCells, NNS, I
were, VBD, I
expanded, VBN, I
in, IN, I
standard, JJ, I
alpha-MEM, NN, I
supplemented, VBN, I
with, IN, I
pooled, JJ, I
human, JJ, I
platelet, NN, I
lysate, NN, I
fully, RB, I
replacing, VBG, I
fetal, JJ, I
bovine, NN, I
serum., NN, ICells, NNS, I
were, VBD, I
passaged, VBN, I
every, DT, I
5-6, JJ, I
days, NNS, I
enzymatically, RB, I
with, IN, I
dispase, NN, I
(1, NNP, I
g/ml, NN, I
Stemcell, NNP, I
Technologies)., NNP, Icell, NN, I
type:, VBZ, I
bone, NN, N
marrow, NN, N
mononuclear, VBP, I
cells, NNS, Icell, NN, I
type:, VBZ, I
normal, JJ, I
bone, NN, N
marrow, NN, N
progenitor, NN, I
cells, NNS, ICMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, Nc-myc, JJ, I
binding, NN, I
sites, NNS, I
were, VBD, I
associated, VBN, I
with, IN, I
low, JJ, I
methylation., NN, ICN-AML, JJ, I
blasts, NNS, I
isolated, VBD, I
from, IN, I
patient, JJ, I
bone, NN, N
marrow, NN, N
aspriation, NN, I
were, VBD, I
compared, VBN, I
to, TO, I
CD34+, NNP, I
cell, NN, I
population, NN, I
from, IN, I
healthy, JJ, I
donors, NNS, I
by, IN, I
DNA, NNP, I
methylation, NN, I
array, NN, I
and, CC, I
affymetrix, JJ, I
gene, NN, I
expression, NN, I
microarray., NN, IComparing, VBG, I
four, CD, I
commonly, RB, I
use, VBP, I
MSC, NNP, I
sources, NNS, I
(, (, I
bone, NN, N
marrow, NN, N
(BM), NNP, I
white, JJ, I
adipose, JJ, I
tissue, NN, I
(WAT), NNP, I
umbilical, JJ, I
cord, NN, I
(UC), NN, I
and, CC, I
skin), NN, I
we, PRP, I
found, VBD, I
only, RB, I
bone, JJ, N
marrow, JJ, N
(BM)-derived, JJ, I
MSCs, NNP, I
capable, NN, I
of, IN, I
endochondral, JJ, I
ossification, NN, I
and, CC, I
marrow, NN, I
attraction., NN, IDensity, NNP, I
centrifuged, VBD, I
bone, NN, N
marrow, NN, NDespite, IN, I
similarities, NNS, I
in, IN, I
morphology, NN, I
phenotype, NN, I
and, CC, I
in, IN, I
vitro, JJ, I
behavior, NN, I
Mesenchymal, NNP, I
Stromal, NNP, I
Cells, NNP, I
(MSC), NNP, I
form, VBP, I
various, JJ, I
tissue, NN, I
sources, NNS, I
show, VBP, I
striking, JJ, I
differences, NNS, I
in, IN, I
their, PRP$, I
in, IN, I
vivo, NN, I
potential, NN, I
to, TO, I
form, VB, I
bone, NN, I
cartilage, NN, I
and, CC, I
hematopoietic, JJ, I
support, NN, I
tissue., NN, IDespite, IN, I
similarities, NNS, I
in, IN, I
morphology, NN, I
phenotype, NN, I
and, CC, I
in, IN, I
vitro, JJ, I
behavior, NN, I
Mesenchymal, NNP, I
Stromal, NNP, I
Cells, NNP, I
(MSC), NNP, I
form, VBP, I
various, JJ, I
tissue, NN, I
sources, NNS, I
show, VBP, I
striking, JJ, I
differences, NNS, I
in, IN, I
their, PRP$, I
in, IN, I
vivo, NN, I
potential, NN, I
to, TO, I
form, VB, I
bone, NN, I
cartilage, NN, I
and, CC, I
hematopoietic, JJ, I
support, NN, I
tissue., NN, Idisease, NN, I
state:, NN, I
normal, JJ, I
bone, NN, N
marrow, NN, NDNA, NN, I
methylation, NN, I
(DNAm), NNP, I
profiles, NNS, I
of, IN, I
iPSCs, NN, I
maintained, VBD, I
some, DT, I
donor-specific, JJ, I
characteristics, NNS, I
whereas, IN, I
tissue-specific, JJ, I
senescence-associated, JJ, I
and, CC, I
age-related, JJ, I
DNAm, NNP, I
patterns, NNS, I
were, VBD, I
erased, VBN, I
during, IN, I
reprogramming., NN, IDNA, NN, I
was, VBD, I
extracted, VBN, I
from, IN, I
patient, JJ, I
bone, NN, N
marrow, NN, N
samples, NNS, I
and, CC, I
xenograft, NNP, I
bone, NN, N
marrow, NN, N
samples, NNS, I
using, VBG, I
Qiagen, NNP, I
Allprep, NNP, I
kit., NN, IDuring, IN, I
embryogenesis, NN, I
body, NN, I
growth, NN, I
and, CC, I
repair, VB, I
the, DT, I
bone, NN, I
substance, NN, I
is, VBZ, I
formed, VBN, I
by, IN, I
osteoblasts, NNS, I
which, WDT, I
are, VBP, I
derived, VBN, I
from, IN, I
mesenchymal, JJ, I
stem, NN, I
cells., NN, IEnrichment, NN, I
for, IN, I
CD34, NNP, I
and, CC, I
CD117, NNP, I
were, VBD, I
checked, VBN, I
via, IN, I
FACS, NNP, I
analysis., NN, IEstablished, VBN, I
iPSCs, NNS, I
were, VBD, I
maintained, VBN, I
on, IN, I
MEFs, NNP, I
in, IN, I
DMEM/F12, NNP, I
medium, NN, I
supplemented, VBD, I
with, IN, I
Glutamax, NNP, I
20%, CD, I
knockout, NN, I
serum, NN, I
replacer, NN, I
1%, CD, I
nonessential, JJ, I
amino, NN, I
acids, NNS, I
1x, CD, I
penicillin/streptomycin, JJ, I
1x, CD, I
L-glutamine, JJ, I
0.1, CD, I
mM, JJ, I
β-Mercaptoethanol, JJ, I
and, CC, I
50, CD, I
ng/ml, JJ, I
basic, JJ, I
fibroblast, NN, I
growth, NN, I
factor, NN, I
(Peprotech, NNP, I
Hamburg, NNP, I
Germany)., NNP, IExpression, NN, I
and, CC, I
methylation, NN, I
data, NNS, I
of, IN, I
purified, JJ, I
Pre-B, NNP, I
cells, NNS, I
in, IN, I
four, CD, I
developmental, JJ, I
stages, NNS, I
were, VBD, I
retrieved, VBN, I
from, IN, I
our, PRP$, I
previous, JJ, I
study, NN, I
(Lee, NNP, I
et, CC, I
al., JJ, I
Nucleic, NNP, I
Acids, NNP, I
Res, NNP, I
2012)., CD, IFor, IN, I
8, CD, I
indibiduals, NNS, I
DNAs, NNP, I
and, CC, I
RNAs, NNP, I
were, VBD, I
isolated, VBN, I
and, CC, I
the, DT, I
methylation, NN, I
and, CC, I
expression, NN, I
changes, NNS, I
during, IN, I
early, JJ, I
B-cell, NNP, I
development, NN, I
were, VBD, I
identified, VBN, I
using, VBG, I
the, DT, I
Illumina, NNP, I
HumanMethylation450, NNP, I
Beadchip, NNP, I
(Illumina), NNP, I
and, CC, I
GeneChip, NNP, I
Human, NNP, I
Gene, NNP, I
1.0, CD, I
ST, NNP, I
Array, NNP, I
(Affymetrix)., NN, IFor, IN, I
CD14, NNP, I
samples, NNS, I
enricment, NN, I
for, IN, I
CD14, NNP, I
was, VBD, I
controlled, VBN, I
by, IN, I
FACS, NNP, I
analysis., NN, IFor, IN, I
re-differentiation, NN, I
of, IN, I
iPSC, JJ, I
towards, NNS, I
iPS-MSCs, JJ, I
medium, NN, I
was, VBD, I
simply, RB, I
exchanged, VBN, I
for, IN, I
MSC, NNP, I
standard, JJ, I
medium, NN, I
supplemented, VBN, I
with, IN, I
10%, CD, I
human, JJ, I
platelet, NN, I
lysate, NN, I
(hPL), NN, I
for, IN, I
7, CD, I
days, NNS, I
and, CC, I
cells, NNS, I
were, VBD, I
then, RB, I
further, RB, I
passaged, VBN, I
in, IN, I
culture, NN, I
wells, NNS, I
coated, VBN, I
with, IN, I
0.1%, CD, I
gelatin, NN, I
(Sigma-Aldrich, JJ, I
St., NNP, I
Louis, NNP, I
CA, NNP, I
USA)., NNP, IFurthermore, RB, I
hypermethylation, NN, I
in, IN, I
iP-MSC, JJ, I
versus, NN, I
ESC, NNP, I
was, VBD, I
particularly, RB, I
enriched, VBN, I
in, IN, I
developmental, JJ, I
genes, NNS, I
as, RB, I
well, RB, I
as, IN, I
shore, NN, I
regions, NNS, I
next, IN, I
to, TO, I
CpG, NNP, I
islands, NNS, I
indicating, VBG, I
that, IN, I
these, DT, I
differences, NNS, I
are, VBP, I
not, RB, I
due, JJ, I
to, TO, I
tissue-specific, JJ, I
memory, NN, I
or, CC, I
random, NN, I
de, IN, I
novo, FW, I
methylation., NN, IFurthermore, RB, I
iMSC#3, NN, I
showed, VBD, I
no, DT, I
major, JJ, I
differences, NNS, I
from, IN, I
hMSCs, NN, I
regarding, VBG, I
surface, NN, I
marker, NN, I
expression., NN, IFurther, RB, I
we, PRP, I
identified, VBD, I
GTF2I, NNP, I
and, CC, I
TEAD2, NNP, I
as, IN, I
regulators, NNS, I
of, IN, I
differentiation, NN, I
by, IN, I
computational, JJ, I
prediction, NN, I
of, IN, I
over-represented, JJ, I
transcription, NN, I
factor, NN, I
motifs, NNS, I
in, IN, I
regions, NNS, I
with, IN, I
differential, JJ, I
histone, NN, I
modification, NN, I
enrichment., NN, IGenome, NNP, I
wide, JJ, I
DNA, NNP, I
methylation, NN, I
profiling, NN, I
of, IN, I
leukemia, JJ, I
stem, NN, I
blast, NN, I
cells, NNS, I
obtained, VBN, I
from, IN, I
15, CD, I
AML, NNP, I
patients, NNS, I
and, CC, I
of, IN, I
normal, JJ, I
hematopoietic, JJ, I
stem/progenitor, NN, I
cells, NNS, I
from, IN, I
5, CD, I
normal, JJ, I
bone, NN, N
marrow, NN, N
., ., Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
5729917060_RO3CO2, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
5729917060_RO4CO2, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
5729917060_RO5CO2, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
5729917060_RO6CO2, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8359018137_RO1CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8359018152_RO1CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8363800011_RO1CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8363800011_RO2CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8363800026_RO1CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
bone, NN, N
marrow, NN, N
CD34+, NNP, I
cells, NNS, I
8363800026_RO2CO1, CD, Igenomic, JJ, I
DNA, NN, I
from, IN, I
CMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
CMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
CMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
CMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
CMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
GMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
GMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
GMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
GMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
GMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
HSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
HSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
HSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
HSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
HSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
L-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
L-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
L-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
L-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
L-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2627, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2710, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2712, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2748, NNP, Igenomic, JJ, I
DNA, NN, I
from, IN, I
MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
ID2753, NNP, IGenomic, NNP, I
DNA, NNP, I
was, VBD, I
extracted, VBN, I
and, CC, I
purified, VBN, I
from, IN, I
AML, NNP, I
and, CC, I
normal, JJ, I
bone, NN, N
marrow, NN, N
samples, NNS, I
using, VBG, I
Epicentre, NNP, I
Kit, NNP, I
according, VBG, I
to, TO, I
standard, JJ, I
instructions, NNS, IGlobal, JJ, I
DNA-methylation, NNP, I
profiles, NNS, I
of, IN, I
the, DT, I
initial, JJ, I
MSC, NNP, I
MSC-derived, NNP, I
iPSC, JJ, I
(iP-MSC), NN, I
and, CC, I
embryonic, JJ, I
stem, NN, I
cells, NNS, I
(ESC), VBP, I
were, VBD, I
then, RB, I
compared, VBN, I
using, VBG, I
a, DT, I
high, JJ, I
density, NN, I
DNA-methylation, NNP, I
array, NN, I
covering, VBG, I
more, JJR, I
than, IN, I
450000, CD, I
CpG, NNP, I
sites., NN, IGMP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, NHowever, RB, I
a, DT, I
disadvantage, NN, I
of, IN, I
primary, JJ, I
hMSCs, NN, I
is, VBZ, I
the, DT, I
limited, JJ, I
in, IN, I
vitro, JJ, I
lifespan, NN, I
but, CC, I
this, DT, I
can, MD, I
be, VB, I
overcome, VBN, I
by, IN, I
introduction, NN, I
of, IN, I
the, DT, I
catalytic, JJ, I
subunit, NN, I
of, IN, I
human, JJ, I
telomerase, NN, I
reverse, NN, I
transcriptase, NN, I
(TERT)., NN, IHSC, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, NHuman, NNP, I
DNA, NNP, I
methylation, NN, I
Beadchip, NNP, I
v1.2, NN, I
was, VBD, I
used, VBN, I
to, TO, I
obtain, VB, I
DNA, NNP, I
methylation, NN, I
profiles, NNS, I
across, IN, I
approximately, RB, I
486000, CD, I
CpGs., NNP, IHuman, NNP, I
fetal, JJ, I
bone, NN, N
marrow, NN, N
was, VBD, I
obtained, VBN, I
and, CC, I
using, VBG, I
flow, JJ, I
cytometry, NN, I
antibodies, NNS, I
four, CD, I
populations, NNS, I
of, IN, I
B-cell, NNP, I
developmental, JJ, I
stages, NNS, I
including, VBG, I
stage, NN, I
1, CD, I
(S1;, NNP, I
predominantly, RB, I
multipotent, VBD, I
progenitors, NNS, I
before, IN, I
lineage, JJ, I
commitment, NN, I
and, CC, I
common, JJ, I
lymphoid, NN, I
progenitors), NN, I
stage, NN, I
II, NNP, I
(S2;, NNP, I
pre-B-I, JJ, I
cells), NN, I
stage, NN, I
3, CD, I
(S3;, JJ, I
pre-B-II, JJ, I
cells), NN, I
and, CC, I
stage, NN, I
4, CD, I
cells, NNS, I
