2, CD, I
free, JJ, I
expansion, NN, I
medium, NN, I
(Stem, NN, I
Cell, NNP, I
Technologies, NNP, I
Grenoble, NNP, I
France), NNP, I
supplemented, VBD, I
with, IN, I
10, CD, I
µg/mL, NNS, I
heparin, JJ, I
(ratiopharm, NNP, I
GmbH, NNP, I
Ulm, NNP, I
Germany), NNP, I
20, CD, I
ng/mL, NN, I
thrombopoietin, NN, I
(TPO;, NNP, I
PeproTech, NNP, I
GmbH, NNP, I
Hamburg, NNP, I
Germany), NNP, I
10, CD, I
ng/mL, JJ, I
stem, NN, I
cell, NN, I
factor, NN, I
(SCF;, NNP, I
PeproTech), NNP, I
10, CD, I
ng/mL, NN, I
fibroblast, NN, I
growth, NN, I
factor, NN, I
1, CD, I
(FGF1;, NN, I
PeproTech)., NNP, IComparing, VBG, I
four, CD, I
commonly, RB, I
use, VBP, I
MSC, NNP, I
sources, NNS, I
(bone, VBP, I
marrow, JJ, I
(BM), NNP, I
white, JJ, I
adipose, JJ, I
tissue, NN, I
(WAT), NNP, I
umbilical, JJ, N
cord, NN, N
(UC), NN, I
and, CC, I
skin), NN, I
we, PRP, I
found, VBD, I
only, RB, I
bone, JJ, I
marrow, JJ, I
(BM)-derived, JJ, I
MSCs, NNP, I
capable, NN, I
of, IN, I
endochondral, JJ, I
ossification, NN, I
and, CC, I
marrow, NN, I
attraction., NN, ICulture, NN, I
was, VBD, I
either, RB, I
performed, VBN, I
on, IN, I
tissue, NN, I
culture, NN, I
plastic, NN, I
(TCP), NN, I
or, CC, I
on, IN, I
a, DT, I
confluent, JJ, I
layer, NN, I
of, IN, I
mesenchymal, JJ, I
stromal, JJ, I
cells, NNS, I
(MSCs;, JJ, I
passage, NN, I
3, CD, I
to, TO, I
6)., CD, IDespite, IN, I
similarities, NNS, I
in, IN, I
morphology, NN, I
phenotype, NN, I
and, CC, I
in, IN, I
vitro, JJ, I
behavior, NN, I
Mesenchymal, NNP, I
Stromal, NNP, I
Cells, NNP, I
(MSC), NNP, I
form, VBP, I
various, JJ, I
tissue, NN, I
sources, NNS, I
show, VBP, I
striking, JJ, I
differences, NNS, I
in, IN, I
their, PRP$, I
in, IN, I
vivo, NN, I
potential, NN, I
to, TO, I
form, VB, I
bone, NN, I
cartilage, NN, I
and, CC, I
hematopoietic, JJ, I
support, NN, I
tissue., NN, IDespite, IN, I
similarities, NNS, I
in, IN, I
morphology, NN, I
phenotype, NN, I
and, CC, I
in, IN, I
vitro, JJ, I
behavior, NN, I
Mesenchymal, NNP, I
Stromal, NNP, I
Cells, NNP, I
(MSC), NNP, I
form, VBP, I
various, JJ, I
tissue, NN, I
sources, NNS, I
show, VBP, I
striking, JJ, I
differences, NNS, I
in, IN, I
their, PRP$, I
in, IN, I
vivo, NN, I
potential, NN, I
to, TO, I
form, VB, I
bone, NN, I
cartilage, NN, I
and, CC, I
hematopoietic, JJ, I
support, NN, I
tissue., NN, IGenome, NNP, I
wide, JJ, I
DNA, NNP, I
methylation, NN, I
differences, NNS, I
in, IN, I
umbilical, JJ, N
cord, NN, N
blood, NN, I
(UCB), NN, I
of, IN, I
preterm, NN, I
and, CC, I
term, NN, I
born, VBN, I
neonates., NNS, IGenomic, NNP, I
DNA, NN, I
from, IN, I
umbilical, JJ, N
cord, NN, N
Blood, NNP, I
was, VBD, I
isolated, VBN, I
by, IN, I
Gentra, NNP, I
Autopure, NNP, I
LS98TM, NNP, I
system, NN, I
(Gentra, NNP, I
Systems), NNP, IGenomic, NNP, I
DNA, NNP, I
was, VBD, I
extracted, VBN, I
from, IN, I
venous, JJ, I
umbilical, JJ, N
cord, NN, N
blood, NN, I
with, IN, I
the, DT, I
RealPure, NNP, I
kit, NN, I
(REALPURE, NNP, I
REAL, NNP, I
DURVIZ, NNP, I
Ref:, NNP, I
RBMEG01), NNP, I
and, CC, I
was, VBD, I
quantified, VBN, I
with, IN, I
the, DT, I
Nanodrop-2000C, NNP, I
Spectrophotometer., NNP, IHematopoietic, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
from, IN, I
umbilical, JJ, N
cord, NN, N
blood, NN, IInterestingly, RB, I
only, RB, I
BM-derived, JJ, I
MSPCs, NNS, I
were, VBD, I
capable, JJ, I
of, IN, I
bone, NN, I
formation, NN, I
and, CC, I
marrow, NN, I
attraction., NN, IIn, IN, I
this, DT, I
study, NN, I
we, PRP, I
have, VBP, I
analyzed, VBN, I
DNA, NNP, I
methylation, NN, I
characteristics, NNS, I
of, IN, I
human, JJ, I
mesenchymal, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
(MSPCs), JJ, I
form, JJ, I
different, JJ, I
tissue, NN, I
sources, NNS, I
including, VBG, I
bone, NN, I
marrow, NN, I
(BM), NNP, I
white, JJ, I
adipose, JJ, I
tissue, NN, I
(WAT, NN, I
), ), I
umbilical, JJ, N
cord, NN, N
(UC), NN, I
as, RB, I
well, RB, I
as, IN, I
dermal, JJ, I
fibroblasts, NNS, I
by, IN, I
using, VBG, I
the, DT, I
HumanMethylation450K, NNP, I
array., NN, IMesenchymal, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
(MSPCs), VBP, I
from, IN, I
human, JJ, I
umbilical, JJ, N
cord, NN, N
(UC), NN, IMethods:, NNP, I
Twenty, NNP, I
mother-newborn, JJ, I
dyads, NNS, I
after, IN, I
uncomplicated, JJ, I
pregnancies, NNS, I
in, IN, I
the, DT, I
absence, NN, I
of, IN, I
perinatal, JJ, I
illness, NN, I
were, VBD, I
included., JJ, Ipreterm_, JJ, I
umbilical, JJ, N
cord, NN, N
blood, NN, I
DNA, NN, Iterm_, JJ, I
umbilical, JJ, N
cord, NN, N
blood, NN, I
DNA, NN, IThe, DT, I
idiopathic, JJ, I
preterm, NN, I
delivery, NN, I
methylation, NN, I
profile, NN, I
in, IN, I
umbilical, JJ, N
cord, NN, N
blood, NN, IThe, DT, I
Illumina, NNP, I
450K, CD, I
Human, NNP, I
DNA, NNP, I
methylation, NN, I
Beadchip, NNP, I
was, VBD, I
used, VBN, I
to, TO, I
obtain, VB, I
the, DT, I
DNA, NNP, I
methylation, NN, I
profiles, NNS, I
of, IN, I
12, CD, I
preterm, NNS, I
and, CC, I
12, CD, I
term, NN, I
UCB, NNP, I
samples, VBZ, I
across, IN, I
450000, CD, I
CpGs., NN, IThese, DT, I
features, NNS, I
correlated, VBD, I
with, IN, I
unique, JJ, I
epigenetic, JJ, I
characteristics, NNS, I
potentially, RB, I
enabling, VBG, I
BM-derived, NNP, I
cells, NNS, I
to, TO, I
undergo, VB, I
endochondral, JJ, I
ossification., NN, Itisse, NN, I
source, NN, I
for, IN, I
mscs:, JJ, I
umbilical, JJ, N
cord, NN, N
(UC), NN, Itissue:, JJ, I
umbilical, JJ, N
cord, NN, N
blood, NN, ITo, TO, I
gain, VB, I
mechanistic, JJ, I
insights, NNS, I
explaining, VBG, I
this, DT, I
differences, VBZ, I
we, PRP, I
analyzed, VBD, I
gene, NN, I
expression, NN, I
characteristics, NNS, I
of, IN, I
MSC, NNP, I
from, IN, I
all, DT, I
four, CD, I
tissue, NN, I
sources, NNS, I
using, VBG, I
Affymetrix, NNP, I
Genechip, NNP, I
Human, NNP, I
Gene, NNP, I
2.0, CD, I
ST, NNP, I
Array., NNP, ITo, TO, I
gain, VB, I
mechanistic, JJ, I
insights, NNS, I
explaining, VBG, I
this, DT, I
differences, VBZ, I
we, PRP, I
analyzed, VBD, I
gene, NN, I
expression, NN, I
characteristics, NNS, I
of, IN, I
MSC, NNP, I
from, IN, I
all, DT, I
four, CD, I
tissue, NN, I
sources, NNS, I
using, VBG, I
Affymetrix, NNP, I
Genechip, NNP, I
Human, NNP, I
Gene, NNP, I
2.0, CD, I
ST, NNP, I
Array., NNP, ITwenty, CD, I
mother-newborn, JJ, I
dyads, NNS, I
after, IN, I
uncomplicated, JJ, I
pregnancies, NNS, I
in, IN, I
the, DT, I
absence, NN, I
of, IN, I
perinatal, JJ, I
illness, NN, I
were, VBD, I
included., JJ, Iumbilical, JJ, N
cord, NN, N
blood, NN, I
(for, JJ, I
methylation, NN, I
arrays), NN, I
and, CC, I
maternal, JJ, I
peripheral, JJ, I
venous, JJ, I
blood, NN, I
(for, JJ, I
cotine, NN, I
level, NN, I
measurement), NN, I
were, VBD, I
collected, VBN, I
and, CC, I
an, DT, I
epigenome-wide, JJ, I
association, NN, I
study, NN, I
was, VBD, I
performed, VBN, I
using, VBG, I
a, DT, I
450K, CD, I
epigenome-wide, JJ, I
scan, JJ, I
(Illumina, NNP, I
Infinium, NNP, I
HumanMethylation, NNP, I
450BeadChip), CD, I
with, IN, I
adjustment, NN, I
to, TO, I
normalize, VB, I
the, DT, I
DNA, NNP, I
methylation, NN, I
for, IN, I
data, NNS, I
cell, NN, I
variability, NN, I
in, IN, I
whole, JJ, I
blood., NN, Iumbilical, JJ, N
cord, NN, N
blood, NN, I
was, VBD, I
collected, VBN, I
in, IN, I
EDTA-tubes, NNP, I
centrifuged, VBD, I
to, TO, I
yield, VB, I
plasma, RB, I
stored, VBN, I
at, IN, I
-80ºC, NNP, I
and, CC, I
thawed, VBD, I
before, IN, I
use., JJ, Iumbilical, JJ, N
cord, NN, N
blood, NN, I
were, VBD, I
collected, VBN, I
and, CC, I
an, DT, I
epigenome-wide, JJ, I
association, NN, I
study, NN, I
was, VBD, I
performed, VBN, I
using, VBG, I
a, DT, I
450K, CD, I
epigenome-wide, JJ, I
scan, JJ, I
(Illumina, NNP, I
Infinium, NNP, I
HumanMethylation, NNP, I
450BeadChip), CD, I
with, IN, I
adjustment, NN, I
to, TO, I
normalize, VB, I
the, DT, I
DNA, NNP, I
methylation, NN, I
for, IN, I
data, NNS, I
cell, NN, I
variability, NN, I
in, IN, I
whole, JJ, I
blood., NN, I
